time,target_left_hip_yaw,target_left_hip_roll,target_left_hip_pitch,target_left_knee,target_left_ankle,target_neck_pitch,target_head_pitch,target_head_yaw,target_head_roll,target_right_hip_yaw,target_right_hip_roll,target_right_hip_pitch,target_right_knee,target_right_ankle,measured_left_hip_yaw,measured_left_hip_roll,measured_left_hip_pitch,measured_left_knee,measured_left_ankle,measured_neck_pitch,measured_head_pitch,measured_head_yaw,measured_head_roll,measured_right_hip_yaw,measured_right_hip_roll,measured_right_hip_pitch,measured_right_knee,measured_right_ankle,trunk_z_m
1.04,-0.106434,-0.083184,-0.367983,0.402406,0.548528,0.228095,0.257892,0.075885,-0.012465,-0.019165,0.074134,0.325974,0.414704,-0.150449,-0.035036,-0.015645,-0.363784,-0.061556,0.309184,0.249377,0.355255,-0.086018,-0.033356,0.055698,0.147681,0.440222,-0.054543,-0.455713,0.117161
1.06,-0.080576,-0.004369,-0.397186,0.429634,0.536285,0.214035,0.270287,0.147695,0.000758,-0.019953,-0.00114,0.327818,0.414522,-0.111872,-0.047508,-0.036748,-0.35429,0.001683,0.346118,0.253514,0.352975,-0.08333,-0.033885,0.049578,0.151438,0.436059,-0.005795,-0.438621,0.1187
1.08,-0.003841,0.052569,-0.457301,0.406987,0.541021,0.216771,0.282126,0.158519,0.02143,0.017253,-0.085936,0.289435,0.454526,-0.212292,-0.059161,-0.05514,-0.352481,0.071588,0.384056,0.252804,0.349577,-0.06674,-0.032704,0.041633,0.148185,0.427114,0.033054,-0.391932,0.119846
1.1,0.058669,0.079313,-0.538633,0.308014,0.564346,0.214067,0.28987,0.169137,0.043251,0.019297,-0.124607,0.274191,0.467454,-0.338832,-0.064208,-0.065956,-0.358711,0.1388,0.419151,0.248866,0.346982,-0.04101,-0.02901,0.034975,0.136528,0.41446,0.066102,-0.335974,0.120323
1.12,0.088164,0.061403,-0.616049,0.119215,0.569108,0.231906,0.281944,0.145673,0.057498,0.06438,-0.20103,0.250307,0.472464,-0.461598,-0.06025,-0.068368,-0.375262,0.192217,0.451,0.243112,0.34616,-0.010966,-0.022357,0.031588,0.115577,0.399078,0.094931,-0.290034,0.12023
1.14,0.062945,-0.049214,-0.634653,-0.176932,0.529645,0.255568,0.272213,0.08898,0.05911,0.140188,-0.16356,0.243941,0.434,-0.506857,-0.048121,-0.066149,-0.403462,0.219595,0.479037,0.237274,0.346076,0.018493,-0.013078,0.032499,0.083986,0.381774,0.118783,-0.26309,0.11963
1.16,0.013503,-0.195516,-0.533996,-0.336868,0.401285,0.254166,0.249888,0.064419,0.052183,0.123268,0.076701,0.221063,0.289582,-0.5679,-0.032029,-0.065573,-0.440506,0.208999,0.500039,0.232765,0.346031,0.042223,-0.002605,0.040064,0.045672,0.364223,0.132728,-0.248992,0.118574
1.18,-0.016995,-0.310289,-0.347112,-0.372586,0.306767,0.231305,0.235456,0.047379,0.046153,0.063763,0.214656,0.222291,0.026299,-0.554934,-0.017751,-0.073007,-0.475455,0.160975,0.506666,0.230157,0.345117,0.058642,0.006994,0.050789,0.016117,0.345257,0.129194,-0.243975,0.117279
1.2,0.075747,-0.20501,-0.35601,-0.324532,0.302024,0.2175,0.251709,-0.022528,0.012525,0.078985,0.188539,0.268846,-0.232995,-0.498606,-0.008436,-0.092223,-0.49346,0.089501,0.49621,0.229078,0.34138,0.068797,0.014591,0.058636,0.006769,0.322795,0.101626,-0.247859,0.115573
1.22,0.088122,-0.107382,-0.337401,-0.415802,0.259637,0.242067,0.264935,-0.074899,-0.008894,0.083515,0.113566,0.272351,-0.356106,-0.492457,0.001137,-0.10631,-0.491429,0.034177,0.48884,0.228847,0.339803,0.071585,0.020799,0.064684,0.015566,0.304845,0.058701,-0.2665,0.116086
1.24,0.007162,0.007025,-0.35246,-0.494286,0.244411,0.288042,0.260402,-0.09341,-0.018219,0.044304,0.051366,0.305292,-0.411898,-0.534648,0.00951,-0.114363,-0.482164,-0.002826,0.4668,0.228089,0.339644,0.064264,0.023537,0.071047,0.035904,0.292543,0.004807,-0.296851,0.117878
1.26,-0.020128,0.063591,-0.408084,-0.484543,0.240373,0.300727,0.28061,-0.123999,-0.038908,0.057164,0.004358,0.331753,-0.393414,-0.549281,0.014475,-0.114691,-0.471491,-0.038197,0.429065,0.22815,0.339577,0.049678,0.023151,0.074694,0.057009,0.2867,-0.057914,-0.333558,0.119288
1.28,-0.037454,0.135451,-0.427216,-0.469518,0.25881,0.282532,0.321911,-0.128741,-0.058013,0.061709,-0.03146,0.382459,-0.340281,-0.532344,0.01495,-0.106556,-0.462836,-0.073133,0.383218,0.230391,0.33958,0.029778,0.019887,0.07566,0.073088,0.287615,-0.121317,-0.37269,0.120078
1.3,-0.044513,0.18963,-0.409748,-0.447155,0.301146,0.25926,0.349718,-0.139126,-0.067928,0.051005,-0.030277,0.462555,-0.244976,-0.513787,0.011716,-0.088875,-0.456207,-0.106227,0.339249,0.234398,0.341291,0.007121,0.013526,0.075749,0.081786,0.296007,-0.176164,-0.4092,0.120272
1.32,-0.057702,0.184309,-0.351495,-0.41337,0.360823,0.24252,0.340142,-0.141772,-0.075704,0.027365,0.054487,0.538015,-0.092664,-0.473756,0.005129,-0.061218,-0.449199,-0.135634,0.30505,0.238571,0.345991,-0.016051,0.004771,0.075556,0.084218,0.313847,-0.214179,-0.439442,0.119931
1.34,-0.068258,-0.020137,-0.262479,-0.317146,0.457278,0.236793,0.309326,-0.128575,-0.085354,0.01552,0.258002,0.575271,0.155519,-0.388456,-0.003224,-0.027332,-0.439025,-0.156049,0.28118,0.240905,0.352469,-0.038224,-0.005298,0.073492,0.086062,0.342216,-0.227906,-0.460516,0.119185
1.36,-0.054298,-0.232948,-0.243707,-0.053239,0.541968,0.267055,0.279443,-0.095512,-0.083427,0.04684,0.382185,0.501519,0.364814,-0.364126,-0.012296,-0.002366,-0.420996,-0.16155,0.272051,0.241516,0.358191,-0.057881,-0.015685,0.068613,0.096929,0.378585,-0.209213,-0.468349,0.118432
1.38,-0.063151,-0.187561,-0.31435,0.215876,0.547442,0.286319,0.252123,-0.037655,-0.029223,0.040331,0.236412,0.417344,0.386631,-0.339646,-0.020514,0.003898,-0.3971,-0.140746,0.271972,0.241565,0.36018,-0.073823,-0.025497,0.063331,0.121567,0.414544,-0.155805,-0.464797,0.117103
1.4,-0.113791,-0.128532,-0.367377,0.319554,0.55758,0.244758,0.259645,0.007039,-0.000224,-0.006391,0.221363,0.321891,0.391443,-0.239302,-0.028167,-0.005668,-0.372213,-0.09264,0.285015,0.245137,0.35882,-0.083281,-0.032056,0.058396,0.142415,0.438945,-0.089004,-0.457849,0.116087
1.42,-0.102671,-0.05835,-0.372937,0.408651,0.545078,0.212785,0.262203,0.110669,-0.007323,-0.045911,0.047645,0.328981,0.408799,-0.142351,-0.038942,-0.02489,-0.356233,-0.034697,0.31522,0.250283,0.357722,-0.085326,-0.034782,0.052055,0.149279,0.442974,-0.03774,-0.45132,0.117554
1.44,-0.058572,0.01906,-0.412875,0.420428,0.533271,0.208744,0.276126,0.163395,0.012094,-0.027876,-0.029261,0.318524,0.428176,-0.142764,-0.051936,-0.046495,-0.348703,0.03127,0.352816,0.251594,0.354715,-0.075985,-0.034807,0.043088,0.150357,0.436048,0.007321,-0.425648,0.119144
1.46,0.011818,0.064306,-0.482972,0.376339,0.543644,0.211061,0.288585,0.171787,0.030379,-0.003651,-0.083129,0.289338,0.45276,-0.240937,-0.062351,-0.062776,-0.348901,0.099779,0.390274,0.248758,0.3513,-0.054097,-0.032476,0.033531,0.144483,0.425502,0.044071,-0.376931,0.120235
1.48,0.067669,0.077763,-0.552305,0.251804,0.561409,0.215073,0.290657,0.174312,0.04941,0.011385,-0.143467,0.279253,0.461223,-0.360386,-0.065352,-0.070153,-0.358209,0.161642,0.424613,0.243425,0.349066,-0.024876,-0.027314,0.026049,0.130601,0.411982,0.076328,-0.324967,0.120602
1.5,0.081046,0.046166,-0.610804,0.039171,0.548269,0.234724,0.278933,0.140254,0.060726,0.075404,-0.207166,0.261442,0.463519,-0.464742,-0.059409,-0.070054,-0.378357,0.206046,0.455402,0.23691,0.348496,0.006876,-0.01932,0.021997,0.107551,0.396789,0.102966,-0.282917,0.12037
1.52,0.052814,-0.081627,-0.623201,-0.218084,0.494756,0.255591,0.269175,0.080989,0.054851,0.142159,-0.105801,0.241935,0.414117,-0.520407,-0.046183,-0.06681,-0.408793,0.221159,0.481085,0.230891,0.348423,0.036067,-0.009117,0.023929,0.074239,0.380883,0.123803,-0.258383,0.1196
1.54,0.00617,-0.233565,-0.488822,-0.34926,0.37087,0.250401,0.239498,0.062302,0.050843,0.105548,0.119793,0.215706,0.241407,-0.574168,-0.030295,-0.066842,-0.445902,0.199039,0.4979,0.226589,0.348355,0.057822,0.001349,0.033209,0.037028,0.364813,0.13393,-0.246505,0.118353
1.56,-0.007704,-0.304941,-0.337126,-0.362006,0.298709,0.226255,0.234931,0.041354,0.043502,0.061814,0.223075,0.237089,-0.049416,-0.539633,-0.016826,-0.076823,-0.477724,0.143381,0.499859,0.224448,0.346826,0.071603,0.010343,0.044185,0.012556,0.345769,0.124313,-0.243644,0.117023
