time,target_left_hip_yaw,target_left_hip_roll,target_left_hip_pitch,target_left_knee,target_left_ankle,target_neck_pitch,target_head_pitch,target_head_yaw,target_head_roll,target_right_hip_yaw,target_right_hip_roll,target_right_hip_pitch,target_right_knee,target_right_ankle,measured_left_hip_yaw,measured_left_hip_roll,measured_left_hip_pitch,measured_left_knee,measured_left_ankle,measured_neck_pitch,measured_head_pitch,measured_head_yaw,measured_head_roll,measured_right_hip_yaw,measured_right_hip_roll,measured_right_hip_pitch,measured_right_knee,measured_right_ankle,trunk_z_m
0.84,0.11863,-0.225606,-0.406836,-0.069311,0.426817,0.337282,0.29437,0.02782,-0.022354,0.094432,0.196808,0.46183,0.135082,-0.53615,0.107636,-0.080164,-0.41189,0.047205,0.397016,0.342608,0.351888,0.024758,-0.018945,0.101073,0.094376,0.497339,-0.040507,-0.474316,0.115741
0.86,0.120757,-0.227511,-0.41029,-0.072892,0.426053,0.342924,0.288786,0.025158,-0.02238,0.095899,0.198274,0.464443,0.144391,-0.515839,0.107642,-0.080194,-0.411976,0.047192,0.397025,0.342579,0.351906,0.024766,-0.018948,0.101069,0.094318,0.497263,-0.041205,-0.474111,0.115755
0.88,0.119644,-0.229122,-0.409074,-0.07362,0.429748,0.33962,0.288734,0.026479,-0.022454,0.096762,0.198546,0.46755,0.137232,-0.517265,0.10766,-0.080212,-0.411882,0.04712,0.397075,0.342722,0.351891,0.024767,-0.018948,0.101079,0.094151,0.497224,-0.041061,-0.474847,0.115781
0.9,0.119202,-0.229562,-0.408738,-0.073813,0.429414,0.339318,0.28954,0.026534,-0.023806,0.096033,0.199388,0.467335,0.137158,-0.517696,0.107675,-0.080224,-0.411806,0.04711,0.397095,0.342791,0.351869,0.024775,-0.018946,0.101103,0.093971,0.497206,-0.040688,-0.475446,0.115792
0.92,0.118339,-0.226319,-0.406298,-0.070617,0.426515,0.337159,0.291972,0.02879,-0.022451,0.093895,0.197621,0.463697,0.1332,-0.528616,0.107692,-0.080167,-0.411859,0.047273,0.397032,0.342771,0.351865,0.024801,-0.018943,0.101115,0.094288,0.497279,-0.040253,-0.47514,0.115746
0.94,0.120248,-0.226745,-0.410031,-0.072089,0.427239,0.341136,0.290496,0.025565,-0.02247,0.095831,0.197944,0.46389,0.142837,-0.521628,0.107694,-0.080203,-0.411904,0.047282,0.397007,0.342752,0.351878,0.024821,-0.018947,0.101108,0.094343,0.497273,-0.041101,-0.474198,0.115751
0.96,0.120003,-0.228812,-0.409161,-0.073108,0.428908,0.340297,0.288996,0.026279,-0.022613,0.096361,0.198726,0.466183,0.139594,-0.517461,0.107708,-0.08022,-0.411842,0.047243,0.397074,0.34286,0.351868,0.024824,-0.018948,0.101114,0.094194,0.497224,-0.04116,-0.474773,0.115777
0.98,0.1193,-0.229808,-0.40912,-0.074207,0.43009,0.339408,0.289553,0.026545,-0.023487,0.096307,0.199213,0.467651,0.137147,-0.517506,0.107723,-0.080234,-0.411777,0.047233,0.397093,0.342924,0.35185,0.02483,-0.018948,0.101134,0.094018,0.497199,-0.040899,-0.47545,0.115788
1.0,0.118549,-0.226307,-0.405486,-0.070635,0.426821,0.337358,0.292046,0.029012,-0.022807,0.09387,0.19722,0.463589,0.133583,-0.529255,0.10774,-0.080189,-0.411885,0.047364,0.397039,0.342883,0.351847,0.024853,-0.018944,0.101146,0.094317,0.497269,-0.040509,-0.475152,0.11574
1.02,0.120272,-0.226411,-0.409865,-0.072164,0.427063,0.341246,0.290556,0.025561,-0.022444,0.095655,0.198031,0.463573,0.143114,-0.521801,0.107744,-0.080222,-0.411985,0.047337,0.397029,0.342843,0.35186,0.024873,-0.018948,0.101139,0.094356,0.497288,-0.041351,-0.474217,0.115748
